"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Estimate","3.01","4,116","64","88","117","127","91,788","4,956","7,228","21,197","22,360","6,299","20,151","9,597","46,285","40,301"
"    Percent","(X)","4,116","(X)","(X)","(X)","(X)","91,788","5.4%","7.9%","23.1%","24.4%","6.9%","22.0%","10.5%","96.5%","84.0%"
"Mission city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.40","1,411","70","0","146","22","49,704","8,494","4,999","12,750","7,291","3,523","9,460","3,187","23,759","21,787"
"    Percent","(X)","1,411","(X)","(X)","(X)","(X)","49,704","17.1%","10.1%","25.7%","14.7%","7.1%","19.0%","6.4%","96.2%","88.2%"
"Missouri City city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.98","N","N","N","N","N","53,214","2,776","2,569","10,410","10,367","4,109","14,994","7,989","24,428","24,053"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","53,214","5.2%","4.8%","19.6%","19.5%","7.7%","28.2%","15.0%","96.8%","95.4%"
"New Braunfels city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.69","N","N","N","N","N","60,160","2,315","3,254","15,715","10,809","5,465","14,424","8,178","31,707","30,725"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","60,160","3.8%","5.4%","26.1%","18.0%","9.1%","24.0%","13.6%","94.9%","92.0%"
"North Richland Hills city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.60","728","15","0","47","49","50,099","382","1,741","12,468","13,911","4,062","12,896","4,639","26,423","25,991"
"    Percent","(X)","728","(X)","(X)","(X)","(X)","50,099","0.8%","3.5%","24.9%","27.8%","8.1%","25.7%","9.3%","97.6%","96.0%"
"Odessa city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.87","1,783","34","0","103","20","75,960","6,441","9,112","22,587","17,863","6,871","8,504","4,582","38,906","34,054"
"    Percent","(X)","1,783","(X)","(X)","(X)","(X)","75,960","8.5%","12.0%","29.7%","23.5%","9.0%","11.2%","6.0%","91.6%","80.2%"
"Pasadena city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.15","1,944","60","44","93","16","91,838","14,260","11,604","29,992","14,596","6,741","9,615","5,030","44,670","43,191"
"    Percent","(X)","1,944","(X)","(X)","(X)","(X)","91,838","15.5%","12.6%","32.7%","15.9%","7.3%","10.5%","5.5%","93.6%","90.5%"
"Pearland city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.78","N","N","N","N","N","87,811","1,635","2,549","17,465","17,582","7,634","26,227","14,719","46,759","45,483"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","87,811","1.9%","2.9%","19.9%","20.0%","8.7%","29.9%","16.8%","99.3%","96.6%"
"Pflugerville city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.95","N","N","N","N","N","44,762","1,101","1,468","13,150","9,339","2,238","12,779","4,687","21,804","21,205"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","44,762","2.5%","3.3%","29.4%","20.9%","5.0%","28.5%","10.5%","99.2%","96.5%"
"Pharr city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.42","N","N","N","N","N","44,092","9,865","5,886","12,768","7,716","2,075","4,854","928","20,179","9,329"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","44,092","22.4%","13.3%","29.0%","17.5%","4.7%","11.0%","2.1%","87.3%","40.3%"
"Plano city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.65","2,333","4","0","53","26","202,746","8,423","3,957","28,357","33,079","12,689","68,655","47,586","105,822","102,791"
"    Percent","(X)","2,333","(X)","(X)","(X)","(X)","202,746","4.2%","2.0%","14.0%","16.3%","6.3%","33.9%","23.5%","98.2%","95.4%"
"Richardson city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.73","1,011","22","0","51","28","79,920","3,192","3,060","9,001","15,092","5,902","26,919","16,754","42,958","41,911"
"    Percent","(X)","1,011","(X)","(X)","(X)","(X)","79,920","4.0%","3.8%","11.3%","18.9%","7.4%","33.7%","21.0%","99.2%","96.7%"
"Round Rock city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.12","1,837","46","116","31","48","86,070","3,306","2,999","17,902","22,102","7,797","24,373","7,591","42,180","41,440"
"    Percent","(X)","1,837","(X)","(X)","(X)","(X)","86,070","3.8%","3.5%","20.8%","25.7%","9.1%","28.3%","8.8%","99.1%","97.3%"
"Rowlett city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.03","1,148","8","0","180","26","46,129","886","1,706","9,719","12,510","4,843","11,673","4,792","21,913","21,430"
"    Percent","(X)","1,148","(X)","(X)","(X)","(X)","46,129","1.9%","3.7%","21.1%","27.1%","10.5%","25.3%","10.4%","99.8%","97.6%"
"San Angelo city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.49","N","N","N","N","N","63,153","3,776","4,590","16,837","17,505","4,269","9,195","6,981","34,439","32,609"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","63,153","6.0%","7.3%","26.7%","27.7%","6.8%","14.6%","11.1%","93.1%","88.2%"
"San Antonio city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.98","21,538","36","12","84","37","1,010,665","84,946","89,700","265,981","227,780","79,755","165,821","96,682","478,012","425,878"
"    Percent","(X)","21,538","(X)","(X)","(X)","(X)","1,010,665","8.4%","8.9%","26.3%","22.5%","7.9%","16.4%","9.6%","93.3%","83.1%"
"Sugar Land city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.95","N","N","N","N","N","81,945","2,480","2,721","11,689","11,323","5,964","27,230","20,538","39,716","38,398"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","81,945","3.0%","3.3%","14.3%","13.8%","7.3%","33.2%","25.1%","99.1%","95.8%"
"Temple city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.66","1,158","41","0","97","33","51,383","1,177","4,935","13,251","12,669","4,693","8,054","6,604","26,789","25,286"
"    Percent","(X)","1,158","(X)","(X)","(X)","(X)","51,383","2.3%","9.6%","25.8%","24.7%","9.1%","15.7%","12.9%","93.0%","87.7%"
"The Woodlands CDP, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.79","N","N","N","N","N","79,059","408","1,099","10,002","16,047","3,987","28,076","19,440","40,320","39,910"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","79,059","0.5%","1.4%","12.7%","20.3%","5.0%","35.5%","24.6%","96.4%","95.4%"
"Tyler city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.71","N","N","N","N","N","69,667","5,647","3,842","12,136","18,077","7,191","15,813","6,961","35,419","30,322"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","69,667","8.1%","5.5%","17.4%","25.9%","10.3%","22.7%","10.0%","94.4%","80.9%"
"Victoria city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.02","N","N","N","N","N","42,560","3,201","3,615","13,295","9,250","4,733","4,944","3,522","19,758","16,230"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","42,560","7.5%","8.5%","31.2%","21.7%","11.1%","11.6%","8.3%","90.6%","74.4%"
"Waco city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.59","1,929","30","31","83","13","77,058","5,068","7,688","20,575","15,642","7,964","12,982","7,139","46,567","42,472"
"    Percent","(X)","1,929","(X)","(X)","(X)","(X)","77,058","6.6%","10.0%","26.7%","20.3%","10.3%","16.8%","9.3%","92.2%","84.1%"
"Wichita Falls city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.46","1,332","32","0","79","45","65,387","2,600","6,361","22,701","14,573","4,626","8,323","6,203","32,845","30,985"
"    Percent","(X)","1,332","(X)","(X)","(X)","(X)","65,387","4.0%","9.7%","34.7%","22.3%","7.1%","12.7%","9.5%","88.0%","83.0%"
"Layton city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","3.08","1,586","41","0","147","48","47,541","679","1,421","11,494","11,484","5,109","11,768","5,586","24,665","23,825"
"    Percent","(X)","1,586","(X)","(X)","(X)","(X)","47,541","1.4%","3.0%","24.2%","24.2%","10.7%","24.8%","11.7%","97.5%","94.1%"
"Lehi city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","3.78","1,327","50","0","178","32","35,614","297","708","5,196","9,111","3,673","11,350","5,279","18,332","17,786"
"    Percent","(X)","1,327","(X)","(X)","(X)","(X)","35,614","0.8%","2.0%","14.6%","25.6%","10.3%","31.9%","14.8%","99.6%","96.6%"
"Ogden city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","2.79","941","30","36","51","27","53,899","3,153","4,625","16,582","13,380","4,239","8,101","3,819","28,664","27,569"
"    Percent","(X)","941","(X)","(X)","(X)","(X)","53,899","5.8%","8.6%","30.8%","24.8%","7.9%","15.0%","7.1%","94.0%","90.4%"
"Orem city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","3.27","2,178","39","0","122","42","53,028","1,827","1,759","8,217","12,985","6,246","15,510","6,484","28,818","26,511"
"    Percent","(X)","2,178","(X)","(X)","(X)","(X)","53,028","3.4%","3.3%","15.5%","24.5%","11.8%","29.2%","12.2%","98.1%","90.2%"
"Provo city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","3.05","1,572","6","15","49","26","48,088","988","1,160","7,472","12,500","4,190","15,115","6,663","33,756","25,254"
"    Percent","(X)","1,572","(X)","(X)","(X)","(X)","48,088","2.1%","2.4%","15.5%","26.0%","8.7%","31.4%","13.9%","98.0%","73.3%"
"St. George city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","2.88","791","22","12","74","11","55,569","1,355","2,084","11,051","17,697","6,607","10,397","6,378","29,196","28,147"
"    Percent","(X)","791","(X)","(X)","(X)","(X)","55,569","2.4%","3.8%","19.9%","31.8%","11.9%","18.7%","11.5%","94.7%","91.3%"
"Salt Lake City city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","2.37","2,101","10","40","45","26","136,970","6,740","6,954","25,666","22,925","10,098","35,748","28,839","78,468","72,519"
"    Percent","(X)","2,101","(X)","(X)","(X)","(X)","136,970","4.9%","5.1%","18.7%","16.7%","7.4%","26.1%","21.1%","95.9%","88.6%"
"Sandy city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","3.08","645","4","0","43","23","65,155","993","1,416","11,702","16,644","5,413","19,381","9,606","29,968","28,721"
"    Percent","(X)","645","(X)","(X)","(X)","(X)","65,155","1.5%","2.2%","18.0%","25.5%","8.3%","29.7%","14.7%","96.3%","92.3%"
"South Jordan city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","3.73","1,414","13","0","93","97","45,428","544","1,175","7,385","10,992","5,111","13,792","6,429","20,380","19,241"
"    Percent","(X)","1,414","(X)","(X)","(X)","(X)","45,428","1.2%","2.6%","16.3%","24.2%","11.3%","30.4%","14.2%","99.2%","93.7%"
"West Jordan city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","3.28","1,382","41","10","101","8","70,386","2,348","4,300","21,994","15,732","6,764","14,128","5,120","34,984","33,801"
"    Percent","(X)","1,382","(X)","(X)","(X)","(X)","70,386","3.3%","6.1%","31.2%","22.4%","9.6%","20.1%","7.3%","98.9%","95.6%"
"West Valley City city, Utah","","","","","","","","","","","","","","","",""
"    Estimate","3.66","2,147","28","0","125","18","80,868","5,087","7,794","27,435","19,674","7,890","10,905","2,083","35,106","33,761"
"    Percent","(X)","2,147","(X)","(X)","(X)","(X)","80,868","6.3%","9.6%","33.9%","24.3%","9.8%","13.5%","2.6%","95.3%","91.6%"
"Alexandria city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.23","1,795","10","13","48","32","122,536","3,847","4,829","12,753","13,621","6,749","38,790","41,947","68,106","65,428"
"    Percent","(X)","1,795","(X)","(X)","(X)","(X)","122,536","3.1%","3.9%","10.4%","11.1%","5.5%","31.7%","34.2%","95.9%","92.1%"
"Arlington CDP, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.08","2,643","3","0","43","39","175,033","5,804","3,794","12,598","13,680","8,085","60,917","70,155","107,630","103,460"
"    Percent","(X)","2,643","(X)","(X)","(X)","(X)","175,033","3.3%","2.2%","7.2%","7.8%","4.6%","34.8%","40.1%","96.2%","92.5%"
"Centreville CDP, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.85","939","4","0","79","65","45,864","1,042","649","6,538","6,287","3,839","15,182","12,327","23,161","22,889"
"    Percent","(X)","939","(X)","(X)","(X)","(X)","45,864","2.3%","1.4%","14.3%","13.7%","8.4%","33.1%","26.9%","99.5%","98.3%"
"Chesapeake city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.76","2,565","12","0","65","39","164,745","3,594","11,459","40,613","38,164","17,963","32,329","20,623","84,048","79,413"
"    Percent","(X)","2,565","(X)","(X)","(X)","(X)","164,745","2.2%","7.0%","24.7%","23.2%","10.9%","19.6%","12.5%","96.7%","91.4%"
"Dale City CDP, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","3.58","1,622","57","0","143","61","49,101","4,353","3,613","10,923","10,270","4,335","9,335","6,272","20,366","19,895"
"    Percent","(X)","1,622","(X)","(X)","(X)","(X)","49,101","8.9%","7.4%","22.2%","20.9%","8.8%","19.0%","12.8%","98.6%","96.3%"
"Hampton city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.33","2,128","49","0","103","44","91,041","2,020","5,528","27,376","23,258","8,951","14,510","9,398","52,008","47,767"
"    Percent","(X)","2,128","(X)","(X)","(X)","(X)","91,041","2.2%","6.1%","30.1%","25.5%","9.8%","15.9%","10.3%","93.5%","85.9%"
"Lynchburg city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.51","1,775","33","1","96","81","46,645","1,165","4,647","10,908","9,665","2,903","10,760","6,597","27,940","26,975"
"    Percent","(X)","1,775","(X)","(X)","(X)","(X)","46,645","2.5%","10.0%","23.4%","20.7%","6.2%","23.1%","14.1%","96.5%","93.2%"
"Newport News city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.41","3,353","67","57","102","41","117,211","2,849","7,869","35,611","26,439","13,674","18,141","12,628","66,443","60,865"
"    Percent","(X)","3,353","(X)","(X)","(X)","(X)","117,211","2.4%","6.7%","30.4%","22.6%","11.7%","15.5%","10.8%","93.7%","85.8%"
"Norfolk city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.45","3,117","26","0","86","18","152,165","5,085","12,749","39,397","35,233","13,041","28,822","17,838","81,678","73,239"
"    Percent","(X)","3,117","(X)","(X)","(X)","(X)","152,165","3.3%","8.4%","25.9%","23.2%","8.6%","18.9%","11.7%","92.4%","82.9%"
"Portsmouth city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.49","616","17","1","58","9","63,624","1,394","6,366","18,627","17,296","6,211","9,064","4,666","33,571","31,644"
"    Percent","(X)","616","(X)","(X)","(X)","(X)","63,624","2.2%","10.0%","29.3%","27.2%","9.8%","14.2%","7.3%","93.0%","87.7%"
"Richmond city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.44","4,020","58","13","103","7","163,388","7,776","17,354","35,423","30,692","7,912","38,741","25,490","81,418","73,754"
"    Percent","(X)","4,020","(X)","(X)","(X)","(X)","163,388","4.8%","10.6%","21.7%","18.8%","4.8%","23.7%","15.6%","90.6%","82.1%"
"Roanoke city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.39","N","N","N","N","N","68,745","3,260","4,915","24,386","13,923","5,923","9,459","6,879","35,580","32,035"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","68,745","4.7%","7.1%","35.5%","20.3%","8.6%","13.8%","10.0%","87.2%","78.5%"
"Suffolk city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.65","822","34","0","67","23","62,892","1,473","4,124","15,761","15,766","6,328","12,269","7,171","32,162","29,058"
"    Percent","(X)","822","(X)","(X)","(X)","(X)","62,892","2.3%","6.6%","25.1%","25.1%","10.1%","19.5%","11.4%","93.0%","84.0%"
"Virginia Beach city, Virginia","","","","","","","","","","","","","","","",""
"    Estimate","2.52","6,347","11","44","86","32","310,431","5,296","13,020","58,145","77,436","37,937","71,164","47,433","169,091","162,381"
"    Percent","(X)","6,347","(X)","(X)","(X)","(X)","310,431","1.7%","4.2%","18.7%","24.9%","12.2%","22.9%","15.3%","96.6%","92.8%"
"Auburn city, Washington","","","","","","","","","","","","","","","",""
"    Estimate","2.74","1,561","29","0","94","73","54,215","2,032","4,112","15,486","11,308","5,043","11,212","5,022","28,382","26,339"
"    Percent","(X)","1,561","(X)","(X)","(X)","(X)","54,215","3.7%","7.6%","28.6%","20.9%","9.3%","20.7%","9.3%","95.7%","88.8%"
"Bellevue city, Washington","","","","","","","","","","","","","","","",""
"    Estimate","2.47","1,921","3","0","68","49","106,863","3,905","1,470","7,674","11,911","5,868","37,978","38,057","58,669","57,611"
"    Percent","(X)","1,921","(X)","(X)","(X)","(X)","106,863","3.7%","1.4%","7.2%","11.1%","5.5%","35.5%","35.6%","98.9%","97.1%"
"Bellingham city, Washington","","","","","","","","","","","","","","","",""
"    Estimate","2.27","N","N","N","N","N","58,377","301","2,281","10,109","12,402","6,252","16,606","10,426","36,450","34,697"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","58,377","0.5%","3.9%","17.3%","21.2%","10.7%","28.4%","17.9%","94.3%","89.7%"
"Everett city, Washington","","","","","","","","","","","","","","","",""
"    Estimate","2.42","1,984","2","0","113","38","78,327","4,160","4,832","19,741","21,128","8,037","15,001","5,428","41,834","38,797"
"    Percent","(X)","1,984","(X)","(X)","(X)","(X)","78,327","5.3%","6.2%","25.2%","27.0%","10.3%","19.2%","6.9%","94.6%","87.7%"
"Federal Way city, Washington","","","","","","","","","","","","","","","",""
"    Estimate","2.73","1,075","58","0","94","10","62,366","2,372","3,788","18,346","14,975","4,788","12,024","6,073","33,525","31,946"
"    Percent","(X)","1,075","(X)","(X)","(X)","(X)","62,366","3.8%","6.1%","29.4%","24.0%","7.7%","19.3%","9.7%","95.9%","91.3%"
